title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Establishing a Performance Standard for Authorizing the Importation and Interstate Movement of Fruits and Vegetables,Rule,Agriculture Department; Animal and Plant Health Inspection Service,"We are amending our regulations governing the importation of fruits and vegetables by broadening our existing performance standard to provide for approval of all new fruits and vegetables for importation into the United States using a notice-based process. We are also removing the region- or commodity-specific phytosanitary requirements currently found in these regulations. Likewise, we are making an equivalent revision of the performance standard in our regulations governing the interstate movement of fruits and vegetables from Hawaii and the U.S. territories (Guam, Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands) and removing the commodity- specific phytosanitary requirements from those regulations. This action will allow for the approval of requests to authorize the importation or interstate movement of new fruits and vegetables in a manner that enables a more flexible and responsive regulatory approach to evolving pest situations in both the United States and exporting countries. It will not, however, alter the science-based process in which the risk associated with importation or interstate movement of a given fruit or vegetable is evaluated or the manner in which risks associated with the importation or interstate movement of a fruit or vegetable are mitigated.", 2018-19984,https://www.federalregister.gov/documents/2018/09/14/2018-19984/establishing-a-performance-standard-for-authorizing-the-importation-and-interstate-movement-of,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-19984.pdf,09/14/2018
"Amendment of Class D Airspace and Class E Airspace, and Revocation of Class E Airspace: New Smyrna Beach, FL",Rule,Transportation Department; Federal Aviation Administration,"This action corrects a final rule published in the Federal Register on August 23, 2018, amending Class D airspace and Class E airspace extending upward from 700 feet or more above the surface at New Smyrna Beach Municipal Airport, New Smyrna Beach, FL. The longitude coordinate symbols for Massey Ranch Airpark listed in Class E airspace areas extending upward from 700 feet were typed as degrees, minutes, minutes instead of degrees, minutes, and seconds. Also, a parenthesis was excluded from the airport's geographic coordinates.", 2018-19978,https://www.federalregister.gov/documents/2018/09/14/2018-19978/amendment-of-class-d-airspace-and-class-e-airspace-and-revocation-of-class-e-airspace-new-smyrna,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-19978.pdf,09/14/2018
Telemarketing Sales Rule Fees,Rule,Federal Trade Commission,The Federal Trade Commission (the ``Commission'') is amending its Telemarketing Sales Rule (``TSR'') by updating the fees charged to entities accessing the National Do Not Call Registry (the ``Registry'') as required by the Do-Not-Call Registry Fee Extension Act of 2007., 2018-20048,https://www.federalregister.gov/documents/2018/09/14/2018-20048/telemarketing-sales-rule-fees,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-20048.pdf,09/14/2018
Allocation of Assets in Single-Employer Plans; Benefits Payable in Terminated Single-Employer Plans; Interest Assumptions for Valuing and Paying Benefits,Rule,Pension Benefit Guaranty Corporation,This final rule amends the Pension Benefit Guaranty Corporation's regulations on Benefits Payable in Terminated Single- Employer Plans and Allocation of Assets in Single-Employer Plans to prescribe interest assumptions under the benefit payments regulation for valuation dates in October 2018 and interest assumptions under the asset allocation regulation for valuation dates in the fourth quarter of 2018. The interest assumptions are used for valuing and paying benefits under terminating single-employer plans covered by the pension insurance system administered by PBGC., 2018-19835,https://www.federalregister.gov/documents/2018/09/14/2018-19835/allocation-of-assets-in-single-employer-plans-benefits-payable-in-terminated-single-employer-plans,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-19835.pdf,09/14/2018
Mergers and Transfers Between Multiemployer Plans,Rule,Pension Benefit Guaranty Corporation,PBGC is issuing a final rule amending its regulation on Mergers and Transfers Between Multiemployer Plans to implement procedures and information requirements for a request for a facilitated merger. This final rule also reorganizes and updates provisions in the existing regulation., 2018-19988,https://www.federalregister.gov/documents/2018/09/14/2018-19988/mergers-and-transfers-between-multiemployer-plans,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-19988.pdf,09/14/2018
"Drawbridge Operation Regulation; Sacramento River, Sacramento, CA",Rule,Homeland Security Department; Coast Guard,"The Coast Guard has issued a temporary deviation from the operating schedule that governs the Tower Drawbridge across the Sacramento River, mile 59.0, at Sacramento, CA. The deviation is necessary to allow the community to participate in the Farm-to-Fork Dinner event. This deviation allows the bridge to remain in the closed- to-navigation position during the deviation period.", 2018-20043,https://www.federalregister.gov/documents/2018/09/14/2018-20043/drawbridge-operation-regulation-sacramento-river-sacramento-ca,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-20043.pdf,09/14/2018
National Oil and Hazardous Substances Pollution Contingency Plan; National Priorities List: Deletion of the Recticon/Allied Steel Superfund Site,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) Region 3 announces the deletion of the Recticon/Allied Steel Corp Superfund Site (Site) located in East Coventry Twp, PA, from the National Priorities List (NPL). The NPL, promulgated pursuant to section 105 of the Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA) of 1980, as amended, is an appendix of the National Oil and Hazardous Substances Pollution Contingency Plan (NCP). The EPA and the Commonwealth of Pennsylvania, through the Pennsylvania Department of Environmental Protection, have determined that all appropriate response actions under CERCLA, have been completed. However, this deletion does not preclude future actions under Superfund.", 2018-20039,https://www.federalregister.gov/documents/2018/09/14/2018-20039/national-oil-and-hazardous-substances-pollution-contingency-plan-national-priorities-list-deletion,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-20039.pdf,09/14/2018
Accelerating Wireline and Wireless Broadband Deployment by Removing Barriers to Infrastructure Investment,Rule,Federal Communications Commission,"In this document, the Federal Communications Commission (Commission) adopts a new framework for the vast majority of pole attachments governed by federal law by instituting a ``one-touch make- ready'' regime, in which a new attacher may elect to perform all simple work to prepare a pole for new wireline attachments in the communications space. This new framework includes safeguards to promote coordination among parties and ensures that new attachers perform the work safely and reliably. The Commission retains the current multi- party pole attachment process for attachments that are complex or above the communications space of a pole, but makes significant modifications to speed deployment, promote accurate billing, expand the use of self- help for new attachers when attachment deadlines are missed, and reduce the likelihood of coordination failures that lead to unwarranted delays. The Commission also improves its pole attachment rules by codifying and redefining Commission precedent that requires utilities to allow attachers to ``overlash'' existing wires, thus maximizing the usable space on the pole; eliminating outdated disparities between the pole attachment rates that incumbent carriers must pay compared to other similarly-situated cable and telecommunications attachers; and clarifying that the Commission will preempt, on an expedited case-by- case basis, state and local laws that inhibit the rebuilding or restoration of broadband infrastructure after a disaster.", 2018-19547,https://www.federalregister.gov/documents/2018/09/14/2018-19547/accelerating-wireline-and-wireless-broadband-deployment-by-removing-barriers-to-infrastructure,https://www.gpo.gov/fdsys/pkg/FR-2018-09-14/pdf/2018-19547.pdf,09/14/2018
Changes to Current Addresses and Geographic Jurisdictions,Rule,Federal Labor Relations Authority,"This document amends regulations listing the current addresses and describing the geographic jurisdictions of the Federal Labor Relations Authority, General Counsel of the Federal Labor Relations Authority, and the Federal Service Impasses Panel. These changes reflect the closing of the Dallas Regional Office and changes to the geographical jurisdictions of the Atlanta, Chicago, and Denver Regional Directors.", 2018-19929,https://www.federalregister.gov/documents/2018/09/13/2018-19929/changes-to-current-addresses-and-geographic-jurisdictions,https://www.gpo.gov/fdsys/pkg/FR-2018-09-13/pdf/2018-19929.pdf,09/13/2018
"Airworthiness Directives; Airbus Defense and Space S.A. (Formerly Known as Construcciones Aeronauticas, S.A.) Airplanes",Rule,Transportation Department; Federal Aviation Administration,"We are adopting a new airworthiness directive (AD) for all Airbus Defense and Space S.A. Model CN-235, CN-235-100, CN-235-200, CN- 235-300, and C-295 airplanes. This AD was prompted by reports that cracks were found on the door mechanism actuator shaft assemblies of the nose landing gear (NLG). This AD requires repetitive inspections of the NLG door mechanism actuator shaft assemblies having certain part numbers, and corrective actions if necessary. This AD would also provide an optional terminating action for the repetitive inspections for Model CN-235, CN-235-100, CN-235-200, and CN-235-300 airplanes. We are issuing this AD to address the unsafe condition on these products.", 2018-19183,https://www.federalregister.gov/documents/2018/09/13/2018-19183/airworthiness-directives-airbus-defense-and-space-sa-formerly-known-as-construcciones-aeronauticas,https://www.gpo.gov/fdsys/pkg/FR-2018-09-13/pdf/2018-19183.pdf,09/13/2018
