title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Taking and Importing Marine Mammals; Taking Marine Mammals Incidental to the U.S. Navy Training and Testing Activities in the Atlantic Fleet Training and Testing Study Area,Proposed Rule,Commerce Department; National Oceanic and Atmospheric Administration,"This document contains corrections to the preamble of the proposed regulations published on March 13, 2018, governing the take of marine mammals incidental to the U.S. Navy (Navy) training and testing activities in the Atlantic Fleet Training and Testing (AFTT) Study Area. This action is necessary to correct an error in where sections of the table were omitted in the Federal Register notice on March 13, 2018.", 2018-07131,https://www.federalregister.gov/documents/2018/04/09/2018-07131/taking-and-importing-marine-mammals-taking-marine-mammals-incidental-to-the-us-navy-training-and,https://www.gpo.gov/fdsys/pkg/FR-2018-04-09/pdf/2018-07131.pdf,04/09/2018
Marketing Order Regulating the Handling of Spearmint Oil Produced in the Far West; Salable Quantities and Allotment Percentages for the 2018-2019 Marketing Year,Proposed Rule,Agriculture Department; Agricultural Marketing Service,"This proposed rule would implement a recommendation from the Far West Spearmint Oil Administrative Committee (Committee) to establish salable quantities and producer allotments of Class 1 (Scotch) and Class 3 (Native) spearmint oil produced in Washington, Idaho, Oregon, and designated parts of Nevada and Utah (the Far West) for the 2018-2019 marketing year. Salable quantities and allotment percentages help maintain stability in the Far West spearmint oil market. This proposed rule would also remove references to past volume regulation no longer in effect.", 2018-06973,https://www.federalregister.gov/documents/2018/04/06/2018-06973/marketing-order-regulating-the-handling-of-spearmint-oil-produced-in-the-far-west-salable-quantities,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-06973.pdf,04/06/2018
"Mango Promotion, Research and Information Order; Amendment To Include Frozen Mangos",Proposed Rule,Agriculture Department; Agricultural Marketing Service,"This proposed rule invites comments on amending the Agricultural Marketing Service's (AMS) regulations regarding a fresh mango national research and promotion program to include frozen mangos as a covered commodity. Additionally, this proposal announces AMS' intent to request approval by the Office of Management and Budget (OMB) of new information collection requirements necessary to include frozen mangos under the program.", 2018-06968,https://www.federalregister.gov/documents/2018/04/06/2018-06968/mango-promotion-research-and-information-order-amendment-to-include-frozen-mangos,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-06968.pdf,04/06/2018
"Responsibilities of Boards of Directors, Corporate Practices, and Corporate Governance",Proposed Rule,Federal Housing Finance Agency,"The Federal Housing Finance Agency (FHFA) is proposing to amend its regulation on the Responsibilities of Boards of Directors, Corporate Practices, and Corporate Governance for its regulated entities. The proposed rule would amend the existing regulation pertaining to Federal Home Loan Bank strategic business plans so that it would apply as well to the Enterprises, and would make a number of adjustments and conforming changes to the existing regulation. As amended, the regulation would require that the board of directors of each regulated entity have in effect at all times a strategic business plan that describes how the regulated entity's business activities will achieve its statutory purposes. The proposed rule would retain the provision that requires each regulated entity's board of directors to review the strategic business plan at least annually, re-adopt it at least once every three years, and establish reporting requirements for and monitor implementation of the strategic business plan. The proposed rule would add a new provision regarding current and emerging business risks, repeal two outdated provisions of the existing regulation, and make a conforming change to the Office of Finance Board of Directors regulation.", 2018-07044,https://www.federalregister.gov/documents/2018/04/06/2018-07044/responsibilities-of-boards-of-directors-corporate-practices-and-corporate-governance,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-07044.pdf,04/06/2018
"Proposed Amendment of Class D Airspace; Tulsa, OK",Proposed Rule,Transportation Department; Federal Aviation Administration,"This action proposes to modify the Class D airspace designated as an extension at Tulsa Lloyd Jones Jr. Airport, Tulsa, OK. The FAA is proposing this action as a result of an airspace review caused by the decommissioning of the Glenpool VHF omnidirectional range (VOR) navigational aid as part of the VOR Minimum Operational Network (MON) Program and the cancellation of the associated instrument procedures. The geographic coordinates also would be amended, and an editorial change would be made removing the airport name in the airspace designation, and removing the city name from the airport designation. Another editorial change would be made to the legal description replacing ``Airport/Facility Directory'' with ``Chart Supplement''.", 2018-06995,https://www.federalregister.gov/documents/2018/04/06/2018-06995/proposed-amendment-of-class-d-airspace-tulsa-ok,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-06995.pdf,04/06/2018
Proposed Expansion of the Monticello Viticultural Area,Proposed Rule,Treasury Department; Alcohol and Tobacco Tax and Trade Bureau,"The Alcohol and Tobacco Tax and Trade Bureau (TTB) proposes to expand the approximately 1,320-square mile ``Monticello'' viticultural area in Albemarle, Green, Nelson, and Orange Counties in Virginia, by approximately 166 square miles. The proposal would extend the viticultural area into Fluvanna County, Virginia. The established Monticello viticultural area and the proposed expansion area are not located within any established viticultural area. TTB designates viticultural areas to allow vintners to better describe the origin of their wines and to allow consumers to better identify wines they may purchase. TTB invites comments on this proposed amendment to its regulations.", 2018-07090,https://www.federalregister.gov/documents/2018/04/06/2018-07090/proposed-expansion-of-the-monticello-viticultural-area,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-07090.pdf,04/06/2018
Proposed Expansion of the Arroyo Seco Viticultural Area,Proposed Rule,Treasury Department; Alcohol and Tobacco Tax and Trade Bureau,"The Alcohol and Tobacco Tax and Trade Bureau (TTB) proposes to expand the approximately 18,240-acre ``Arroyo Seco'' viticultural area in Monterey County, California, by approximately 90 acres. The established Arroyo Seco viticultural area and the proposed expansion area both lie within the established Monterey viticultural area and the larger, multi-county Central Coast viticultural area. TTB designates viticultural areas to allow vintners to better describe the origin of their wines and to allow consumers to better identify wines they may purchase. TTB invites comments on this proposed amendment to its regulations.", 2018-07093,https://www.federalregister.gov/documents/2018/04/06/2018-07093/proposed-expansion-of-the-arroyo-seco-viticultural-area,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-07093.pdf,04/06/2018
Proposed Establishment of the Van Duzer Corridor Viticultural Area and Clarification of the Eola-Amity Hills Viticultural Area Boundary Description,Proposed Rule,Treasury Department; Alcohol and Tobacco Tax and Trade Bureau,"The Alcohol and Tobacco Tax and Trade Bureau (TTB) proposes to establish the approximately 59,871-acre ``Van Duzer Corridor'' viticultural area in portions of Polk and Yamhill Counties, Oregon. The proposed viticultural area lies entirely within the existing Willamette Valley viticultural area. TTB also is proposing to clarify the boundary description of the adjacent Eola-Amity Hills viticultural area. TTB designates viticultural areas to allow vintners to better describe the origin of their wines and to allow consumers to better identify wines they may purchase. TTB invites comments on this proposed addition to its regulations.", 2018-07089,https://www.federalregister.gov/documents/2018/04/06/2018-07089/proposed-establishment-of-the-van-duzer-corridor-viticultural-area-and-clarification-of-the,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-07089.pdf,04/06/2018
"Security Zone, Seattle's Seafair Fleet Week Moving Vessels, Puget Sound, WA",Proposed Rule,Homeland Security Department; Coast Guard,The Coast Guard proposes to amend its Seattle Seafair Fleet Week Moving Vessels Security Zone regulation. This amendment would change the information in annual notices of enforcement that are published both in the Federal Register and Local Notice to Mariners. This action is necessary because last minute changes in the vessels participating in the Parade of Ships during Fleet Week prevent the Coast Guard from identifying the designated participating vessels in the Federal Register within the allotted timeframe. We invite your comments on this proposed rulemaking., 2018-07026,https://www.federalregister.gov/documents/2018/04/06/2018-07026/security-zone-seattles-seafair-fleet-week-moving-vessels-puget-sound-wa,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-07026.pdf,04/06/2018
VA Compensation and Pension Regulation Rewrite Project,Proposed Rule,Veterans Affairs Department,"The Department of Veterans Affairs (VA) published a notice of proposed rulemaking in the Federal Register on November 27, 2013, proposing to reorganize and rewrite its compensation and pension regulations in a logical, claimant focused, and user-friendly format. The intended effect of the proposed revisions was to assist claimants, beneficiaries, veterans' representatives, and VA personnel in locating and understanding these regulations. VA has since determined that an incremental approach to revising these regulations is the only feasible method for the Veterans Benefit Administration (VBA) as it exists today. Therefore, VA is withdrawing the proposed rule, RIN 2900-AO13-VA Compensation and Pension Regulation Rewrite Project, that was published on November 27, 2013, at 78 FR 71,042.", 2018-07078,https://www.federalregister.gov/documents/2018/04/06/2018-07078/va-compensation-and-pension-regulation-rewrite-project,https://www.gpo.gov/fdsys/pkg/FR-2018-04-06/pdf/2018-07078.pdf,04/06/2018
