title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Diseases Associated With Exposure to Contaminants in the Water Supply at Camp Lejeune,Proposed Rule,Veterans Affairs Department,"The Department of Veterans Affairs (VA) proposes to amend its adjudication regulations relating to presumptive service connection to add certain diseases associated with contaminants present in the base water supply at U.S. Marine Corps Base Camp Lejeune (Camp Lejeune), North Carolina, from August 1, 1953 to December 31, 1987. The chemical compounds involved have been associated by various scientific organizations with the development of certain diseases. This proposed rule would establish that veterans, former reservists, and former National Guard members, who served at Camp Lejeune for no less than 30 days (consecutive or nonconsecutive) during this period, and who have been diagnosed with any of eight associated diseases, are presumed to have a service-connected disability for purposes of entitlement to VA benefits. In addition, VA proposes to establish a presumption that these individuals were disabled during the relevant period of service, thus establishing active military service for benefit purposes. Under this proposed presumption, affected former reservists and National Guard members would have veteran status for purposes of entitlement to some VA benefits. This proposed amendment would implement a decision by the Secretary of Veterans Affairs that service connection on a presumptive basis is warranted for claimants who served at Camp Lejeune during the relevant period and for the requisite amount of time and later develop certain diseases. The Secretary's decision is supported by the conclusions of internationally recognized scientific authorities that strong evidence exists establishing a relationship between exposure to certain volatile organic compounds (VOCs) that were in the water at Camp Lejeune and later development of certain disabilities.", 2016-21455,https://www.federalregister.gov/documents/2016/09/09/2016-21455/diseases-associated-with-exposure-to-contaminants-in-the-water-supply-at-camp-lejeune,https://www.gpo.gov/fdsys/pkg/FR-2016-09-09/pdf/2016-21455.pdf,09/09/2016
"State of Iowa; Approval and Promulgation of the Title V Operating Permits Program, the State Implementation Plan, and 112(l) Plan",Proposed Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is proposing to approve revisions to the Iowa Title V Operating Permits Program, the State Implementation Plan (SIP), and the 112(l) plan. The submission revises the Title V Operating Permits Program to include a new chapter to address fees for services by the air quality program. Administrative revisions made with this rulemaking to the SIP and 112(l) plan are associated with the new chapter.", 2016-21468,https://www.federalregister.gov/documents/2016/09/09/2016-21468/state-of-iowa-approval-and-promulgation-of-the-title-v-operating-permits-program-the-state,https://www.gpo.gov/fdsys/pkg/FR-2016-09-09/pdf/2016-21468.pdf,09/09/2016
Outer Continental Shelf Air Regulations Consistency Update for Maryland,Proposed Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) proposes to update a portion of the Outer Continental Shelf (OCS) Air Regulations. Requirements applying to OCS sources located within 25 miles of States' seaward boundaries must be updated periodically to remain consistent with the requirements of the corresponding onshore area (COA), as mandated by the Clean Air Act, as amended in 1990 (the Act). The portion of the OCS air regulations that is being updated pertains to the requirements for OCS sources for which Maryland is the designated COA. In the Rules and Regulations section of this Federal Register, EPA is taking this action as a direct final rule without prior proposal because the Agency views this as a noncontroversial submittal and anticipates no adverse comments. A detailed rationale for the approval is set forth in the direct final rule. If no adverse comments are received in response to this action, no further activity is contemplated. If EPA receives adverse comments, the direct final rule will be withdrawn and all public comments received will be addressed in a subsequent final rule based on this proposed rule. EPA will not institute a second comment period. Any parties interested in commenting on this action should do so at this time.", 2016-21459,https://www.federalregister.gov/documents/2016/09/09/2016-21459/outer-continental-shelf-air-regulations-consistency-update-for-maryland,https://www.gpo.gov/fdsys/pkg/FR-2016-09-09/pdf/2016-21459.pdf,09/09/2016
National Priorities List,Proposed Rule,Environmental Protection Agency,"The Comprehensive Environmental Response, Compensation, and Liability Act (``CERCLA'' or ``the Act''), as amended, requires that the National Oil and Hazardous Substances Pollution Contingency Plan (``NCP'') include a list of national priorities among the known releases or threatened releases of hazardous substances, pollutants or contaminants throughout the United States. The National Priorities List (``NPL'') constitutes this list. The NPL is intended primarily to guide the Environmental Protection Agency (``EPA'' or ``the agency'') in determining which sites warrant further investigation. These further investigations will allow the EPA to assess the nature and extent of public health and environmental risks associated with the site and to determine what CERCLA-financed remedial action(s), if any, may be appropriate. This rulemaking proposes to add eight sites to the General Superfund section of the NPL.", 2016-21626,https://www.federalregister.gov/documents/2016/09/09/2016-21626/national-priorities-list,https://www.gpo.gov/fdsys/pkg/FR-2016-09-09/pdf/2016-21626.pdf,09/09/2016
"Radio Broadcasting Services; Pima, Arizona",Proposed Rule,Federal Communications Commission,"This document proposes to amend the FM Table of Allotments, by substituting noncommercial educational Channel *278A for Channel *296A at Pima, Arizona to accommodate the hybrid application, requesting modification of the license for Station KIKO(FM) to specify operation on Channel 243C2 rather than Channel 247C2 at Claypool, Arizona. A staff engineering analysis indicates that Channel *278A can be allotted to Pima consistent with the minimum distance separation requirements of the Commission's rules with a site restriction 10 kilometers (6.2 miles) southeast of the community. The reference coordinates are 32-49- 46 NL and 109-45-16 WL.", 2016-21764,https://www.federalregister.gov/documents/2016/09/09/2016-21764/radio-broadcasting-services-pima-arizona,https://www.gpo.gov/fdsys/pkg/FR-2016-09-09/pdf/2016-21764.pdf,09/09/2016
General Services Administration Acquisition Regulation (GSAR); Construction Contract Administration,Proposed Rule,General Services Administration,"The General Services Administration (GSA) is issuing a proposed rule amending the General Services Administration Acquisition Regulation (GSAR) coverage on construction contracts, including provisions and clauses for solicitations and resultant contracts, to clarify, update, and incorporate existing construction contract administration procedures.", 2016-21629,https://www.federalregister.gov/documents/2016/09/09/2016-21629/general-services-administration-acquisition-regulation-gsar-construction-contract-administration,https://www.gpo.gov/fdsys/pkg/FR-2016-09-09/pdf/2016-21629.pdf,09/09/2016
"General Services Administration Acquisition Regulation (GSAR); Federal Supply Schedule, Order-Level Materials",Proposed Rule,General Services Administration,"The General Services Administration (GSA) is proposing to amend the General Services Administration Acquisition Regulation (GSAR) to clarify the authority to acquire order-level materials when placing a task order or establishing a Blanket Purchase Agreement (BPA) against a Federal Supply Schedule (FSS) contract. This proposed rule seeks to provide clear and comprehensive implementation of the ability to acquire order-level materials through the FSS program to create parity between FSS contracts and commercial indefinite-delivery/indefinite- quantity (IDIQ) contracts, reduce the need to conduct less efficient procurement transactions, lower barriers of entry to the federal marketplace and make it easier to do business the federal government.", 2016-21610,https://www.federalregister.gov/documents/2016/09/09/2016-21610/general-services-administration-acquisition-regulation-gsar-federal-supply-schedule-order-level,https://www.gpo.gov/fdsys/pkg/FR-2016-09-09/pdf/2016-21610.pdf,09/09/2016
Medical Review Board Task Report on Insulin Treated Diabetes Mellitus and Commercial Motor Vehicle Drivers,Proposed Rule,Transportation Department; Federal Motor Carrier Safety Administration,"In May 2015, FMCSA published a notice of proposed rulemaking (NPRM) in the Federal Register to allow drivers with stable, well- controlled insulin-treated diabetes mellitus (ITDM) to be qualified to operate commercial motor vehicles (CMVs) in interstate commerce. The comment period closed on July 6, 2015 and the Agency received over 1,250 comments. In that same month, FMCSA requested the Medical Review Board (MRB) to provide the Agency with advice by reviewing and analyzing the comments and providing recommendations to FMCSA for its consideration. The Agency announces the availability of the MRB's report and requests comments on the MRB recommendations. The Final MRB Task 15-01 Report is posted in the docket at FMCSA-2005-23151.", 2016-21724,https://www.federalregister.gov/documents/2016/09/09/2016-21724/medical-review-board-task-report-on-insulin-treated-diabetes-mellitus-and-commercial-motor-vehicle,https://www.gpo.gov/fdsys/pkg/FR-2016-09-09/pdf/2016-21724.pdf,09/09/2016
Endangered and Threatened Wildlife and Plants; Endangered Species Status for Guadalupe Fescue,Proposed Rule,Interior Department; Fish and Wildlife Service,"We, the U.S. Fish and Wildlife Service (Service), propose to list Festuca ligulata (Guadalupe fescue), a plant species from the Chihuahuan Desert of west Texas and Mexico, as an endangered species under the Endangered Species Act of 1973, as amended (Act). If we finalize this rule as proposed, it would extend the Act's protections to this species.", 2016-21588,https://www.federalregister.gov/documents/2016/09/09/2016-21588/endangered-and-threatened-wildlife-and-plants-endangered-species-status-for-guadalupe-fescue,https://www.gpo.gov/fdsys/pkg/FR-2016-09-09/pdf/2016-21588.pdf,09/09/2016
Endangered and Threatened Wildlife and Plants; Designation of Critical Habitat for Guadalupe Fescue,Proposed Rule,Interior Department; Fish and Wildlife Service,"We, the U.S. Fish and Wildlife Service (Service), propose to designate critical habitat for Festuca ligulata (Guadalupe fescue) under the Endangered Species Act of 1973, as amended (Act). In total, approximately 7,815 acres (3,163 hectares) in Brewster County, Texas, located entirely in Big Bend National Park, fall within the boundaries of the proposed critical habitat designation. If we finalize this rule as proposed, it would extend the Act's protections to this species' critical habitat. We also announce the availability of a draft economic analysis (DEA) of the proposed designation of critical habitat for Guadalupe fescue.", 2016-21587,https://www.federalregister.gov/documents/2016/09/09/2016-21587/endangered-and-threatened-wildlife-and-plants-designation-of-critical-habitat-for-guadalupe-fescue,https://www.gpo.gov/fdsys/pkg/FR-2016-09-09/pdf/2016-21587.pdf,09/09/2016
