title,type,agency_names,abstract,document_number,html_url,pdf_url,publication_date
Air Plan Approval; Ohio; Control of Emissions of Organic Materials That Are Not Regulated by VOC RACT Rules,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is approving, under the Clean Air Act (CAA), revisions to the Ohio Administrative Code (OAC) rule as part of Ohio's State Implementation Plan (SIP). This rule has generally been revised to: make minor style changes to meet Ohio's legislative service commission style and formatting guidelines; add specific effective dates within the rule; correct certain errors and omissions introduced when the rule was last revised; remove facilities and units that have been permanently shut down; update the names of certain subject facilities; and modify certain source applicability exclusions. Sources controlled by this rule are not covered by existing Volatile Organic Compound (VOC) Reasonably Available Control Technology (RACT) rules or other organic material emission control rules in Ohio's Administrative Code.", 2017-14400,https://www.federalregister.gov/documents/2017/07/11/2017-14400/air-plan-approval-ohio-control-of-emissions-of-organic-materials-that-are-not-regulated-by-voc-ract,https://www.gpo.gov/fdsys/pkg/FR-2017-07-11/pdf/2017-14400.pdf,07/11/2017
Labeling Relief; Formaldehyde Emission Standards for Composite Wood Products,Rule,Environmental Protection Agency,"EPA is taking direct final action to amend a final rule that published in the Federal Register on December 12, 2016 concerning formaldehyde emission standards for composite wood products. The amendment will allow compliant composite wood products and finished goods that contain compliant composite wood products that were manufactured prior to December 12, 2017 to be labeled as Toxic Substances Control Act (TSCA) Title VI compliant. This means that regulated composite wood products and finished goods that meet the required formaldehyde emissions standards could be voluntarily labeled as compliant as soon as compliance can be achieved. This will enhance regulatory flexibility and facilitate a smoother supply chain transition to compliance with the rule's broader requirements, as well as promote lower formaldehyde emitting products entering commerce earlier than under the rule as originally published. EPA believes that the amendment is non-controversial and does not expect to receive any adverse comments. However, in addition to this direct final rulemaking, elsewhere in this issue of the Federal Register, EPA is promulgating the amendment as a notice of proposed rulemaking that will be used in the event of adverse comment on the amendments within this direct final action.", 2017-14513,https://www.federalregister.gov/documents/2017/07/11/2017-14513/labeling-relief-formaldehyde-emission-standards-for-composite-wood-products,https://www.gpo.gov/fdsys/pkg/FR-2017-07-11/pdf/2017-14513.pdf,07/11/2017
"Fisheries of the Caribbean, Gulf of Mexico, and South Atlantic; 2017 Commercial Accountability Measures and Closure for Blueline Tilefish in the South Atlantic Region",Rule,Commerce Department; National Oceanic and Atmospheric Administration,"NMFS implements accountability measures (AMs) for commercial blueline tilefish in the exclusive economic zone (EEZ) of the South Atlantic. Commercial landings for blueline tilefish are projected to reach the commercial annual catch limit (ACL) by July 18, 2017. Therefore, NMFS is closing the commercial sector for blueline tilefish in the South Atlantic EEZ at 12:01 a.m., local time, July 18, 2017, and it will remain closed until the start of the next fishing year on January 1, 2018. This closure is necessary to protect the blueline tilefish resource.", 2017-14441,https://www.federalregister.gov/documents/2017/07/11/2017-14441/fisheries-of-the-caribbean-gulf-of-mexico-and-south-atlantic-2017-commercial-accountability-measures,https://www.gpo.gov/fdsys/pkg/FR-2017-07-11/pdf/2017-14441.pdf,07/11/2017
Fisheries of the Exclusive Economic Zone Off Alaska; Reallocation of Pollock in the Bering Sea and Aleutian Islands,Rule,Commerce Department; National Oceanic and Atmospheric Administration,"NMFS is reallocating the projected unused amounts of the Aleut Corporation pollock directed fishing allowance from the Aleutian Islands subarea to the Bering Sea subarea. Also, NMFS is prohibiting directed fishing for pollock in the Aleutian Islands subarea of the Bering Sea and Aleutian Islands management area (BSAI). This action is necessary to provide opportunity for harvest of the 2017 total allowable catch of pollock, consistent with the goals and objectives of the Fishery Management Plan for Groundfish (FMP) of the BSAI.", 2017-14484,https://www.federalregister.gov/documents/2017/07/11/2017-14484/fisheries-of-the-exclusive-economic-zone-off-alaska-reallocation-of-pollock-in-the-bering-sea-and,https://www.gpo.gov/fdsys/pkg/FR-2017-07-11/pdf/2017-14484.pdf,07/11/2017
Pennsylvania Regulatory Program,Rule,Interior Department; Surface Mining Reclamation and Enforcement Office,"We, the Office of Surface Mining Reclamation and Enforcement (OSMRE), are approving an amendment to the Pennsylvania regulatory program (Pennsylvania program) under the Surface Mining Control and Reclamation Act of 1977 (SMCRA or the Act). This amendment revises the Pennsylvania program to further define the implementation process for the reclamation of alternative bonding system (ABS) ``Legacy Sites,'' and to clearly identify the current list of Legacy Sites, as well as sites that may qualify in the future as Legacy Sites.", 2017-14376,https://www.federalregister.gov/documents/2017/07/10/2017-14376/pennsylvania-regulatory-program,https://www.gpo.gov/fdsys/pkg/FR-2017-07-10/pdf/2017-14376.pdf,07/10/2017
"Certifications and Exemptions Under the International Regulations for Preventing Collisions at Sea, 1972",Rule,Defense Department; Navy Department,"The Department of the Navy (DoN) is amending its certifications and exemptions under the International Regulations for Preventing Collisions at Sea, 1972 (72 COLREGS), to reflect that the Deputy Assistant Judge Advocate General (DAJAG) (Admiralty and Maritime Law) has determined that certain vessels of the VIRGINIA SSN Class are vessels of the Navy which, due to their special construction and purpose, cannot fully comply with certain provisions of the 72 COLREGS without interfering with their special function as a naval ships. The intended effect of this rule is to warn mariners in waters where 72 COLREGS apply.", 2017-13960,https://www.federalregister.gov/documents/2017/07/10/2017-13960/certifications-and-exemptions-under-the-international-regulations-for-preventing-collisions-at-sea,https://www.gpo.gov/fdsys/pkg/FR-2017-07-10/pdf/2017-13960.pdf,07/10/2017
"Security Zone; Potomac River, Montgomery County, MD",Rule,Homeland Security Department; Coast Guard,"This interim rule establishes a security zone encompassing certain waters of the Potomac River. This action is necessary to prevent waterside threats and incidents immediately before, during and after events held at the Trump National Golf Club at Potomac Falls, VA. This rule prohibits vessels and people from entering the security zone and requires vessels and persons in the security zone to depart the security zone, unless specifically exempt under the provisions in this rule or granted specific permission from the Coast Guard Captain of the Port Maryland-National Capital Region or designated representative. The regulation will enhance the safety and security of persons and property, while minimizing, to the extent possible, the impact on commerce and legitimate waterway use. We invite your comments on this rulemaking.", 2017-14395,https://www.federalregister.gov/documents/2017/07/10/2017-14395/security-zone-potomac-river-montgomery-county-md,https://www.gpo.gov/fdsys/pkg/FR-2017-07-10/pdf/2017-14395.pdf,07/10/2017
Air Plan Approval; Indiana; Redesignation of the Muncie Area to Attainment of the 2008 Lead Standard; Withdrawal of Direct Final Rule,Rule,Environmental Protection Agency,"Due to the receipt of an adverse comment, the Environmental Protection Agency (EPA) is withdrawing the May 30, 2017, direct final rule approving the redesignation of the Muncie nonattainment area to attainment for the 2008 national ambient air quality standards (NAAQS) for lead, the state's plan for maintaining the 2008 lead NAAQS through 2030 for the area, and the 2013 attainment year emissions inventory for the area.", 2017-14316,https://www.federalregister.gov/documents/2017/07/10/2017-14316/air-plan-approval-indiana-redesignation-of-the-muncie-area-to-attainment-of-the-2008-lead-standard,https://www.gpo.gov/fdsys/pkg/FR-2017-07-10/pdf/2017-14316.pdf,07/10/2017
Buprofezin; Pesticide Tolerance,Rule,Environmental Protection Agency,"This regulation establishes a tolerance for residues of buprofezin in or on rice grain. Nichino America, Inc. requested this tolerance under the Federal Food, Drug, and Cosmetic Act (FFDCA).", 2017-14085,https://www.federalregister.gov/documents/2017/07/10/2017-14085/buprofezin-pesticide-tolerance,https://www.gpo.gov/fdsys/pkg/FR-2017-07-10/pdf/2017-14085.pdf,07/10/2017
Control of Communicable Diseases; Correction,Rule,Health and Human Services Department,"The Centers for Disease Control and Prevention (CDC) in the Department of Health and Human Services (HHS) announces technical corrections to the final rule (82 FR 6890) published on January 19, 2017. These technical corrections remove grammatical errors, remove a reference to reports of deaths or illness by ``radio,'' change regulatory text to match previously updated and approved language, and amend a reporting date for a retrospective review so that the date does not coincide with a Federal holiday.", 2017-14393,https://www.federalregister.gov/documents/2017/07/10/2017-14393/control-of-communicable-diseases-correction,https://www.gpo.gov/fdsys/pkg/FR-2017-07-10/pdf/2017-14393.pdf,07/10/2017
